Number;Start time in milliseconds;End time in milliseconds;"Text"
207;708666.2916;713295.9166;"Herr Direktor, eine Frage.
Darf ich Ash die Schule zeigen?"
208;713379.3332;716173.7916;"-Natürlich. Porygondelt los.
-Bereit?"
209;716257.2082;717216.4999;"Ja!"
210;718801.4166;720886.8332;"-Unser Klassenzimmer.
-Wow."
211;720970.2499;722805.4166;"Pika!"
212;725474.7499;730479.7499;"-[lacht] Ist ja echt toll.
-Pika!"
213;730563.1666;732690.2916;"[Pikachu] Pikachu!"
214;732773.7082;733858.1249;"Moment."
215;733941.5416;737611.8749;"[Maho] Es gibt eine Tauros-Weide
und einen See."
216;737695.2916;741323.9166;"Das Areal ist groß.
Wir lernen tolle Dinge."
217;742450.0416;745244.4999;"Ein super Alola wünsche ich euch!"
218;745327.9166;748080.6666;"-Professor Kukui!
-Professor?"
219;748164.0832;752126.3749;"Er ist unser Lehrer.
Darf ich Ihnen Ash vorstellen?"
220;752209.7916;756297.2082;"Direktor Eich hat mir schon alles erzählt.
Hallo, Ash."
221;756380.6249;758716.2916;"Die Schule ist ein toller Ort."
222;758799.7082;761093.6666;"Ich hoffe, es gefällt euch hier."
223;761177.0832;762887.1249;"-Vielen Dank.
-Pika."
224;762970.5416;764972.5416;"-[Glurak brüllt]
-[Ash] Hm?"
225;766599.1666;767725.2916;"Was ist los?"
226;771020.2499;774690.5832;"Uns so aufzuhalten ist echt nicht so klug."
227;774773.9999;776525.7499;"Das sehe ich auch so."
228;776609.1666;779612.1666;"Team Skull wird ungerne gestoppt."
229;779695.5832;781822.7082;"[Team Skull]
Du sagst es."
230;781906.1249;783616.1666;"Ich blockierte nichts."
231;783699.5832;786744.2916;"Ihr seid die Einzigen, die im Weg sind."
232;786827.7082;789497.0416;"Dieses Großmaul spinnt wohl."
233;789580.4582;792124.6666;"[Team Skull]
Sag das nie wieder."
234;792208.0832;795503.0416;"-Wer sind die?
-Mitglieder von Team Skull."
235;795586.4582;799507.0416;"Die schikanieren uns ständig
und suchen Streit."
236;799590.4582;804428.6249;"Wenn ihr uns in einem Pokémon-Kampf
besiegt, dürft ihr gehen."
237;804512.0416;806263.7916;"Aber wenn wir siegen,"
238;806347.2082;809558.7499;"dann gehört dieses Glurak da uns."
239;809642.1666;811685.8749;"Das wird euch noch leidtun."
240;811769.2916;813312.4999;"Das werden wir sehen."
241;813938.1249;815648.1666;"Los, Molunk!"
242;815731.5832;818317.4999;"-Mangunior!
-Zubat!"
243;818400.9166;820110.9582;"[kreischen]"
244;820194.3749;822988.8332;"Sag deinem Glurak, dass wir kämpfen."
245;823864.7082;825241.0832;"[seufzt]"
246;825324.4999;828244.0832;"[knurren]"
247;828327.4999;829995.8332;"[Ash]
Hört auf!"
248;833082.2499;834124.9582;"Lass das, Ash!"
249;834208.3749;837503.3332;"-Wer glaubst du, bist du?
-Ihr Feiglinge!"
250;837586.7499;841549.0416;"-Ihr tretet zu dritt gegen einen an.
-Und?"
251;841632.4582;844051.5416;"Ich werde auch kämpfen. Bereit?"
252;844969.1249;848681.1666;"-Du auch?
-Kiawe. Aber ich brauche keine Hilfe."
253;848764.5832;850683.1666;"Die Typen sind gefährlich."
254;850766.5832;852601.7499;"Pikachu! Bereit?"
255;854395.2082;856689.1666;"-Du bist dran!
-Pika!"
256;856772.5832;858065.5416;"Sieh an."
257;858148.9582;859942.4166;"Verletz dich nicht."
258;861986.125;864446.9166;"Leg los, Tortunator!"
259;870202.6666;872538.3332;"Tortunator!"
260;872621.75;876333.7916;"Ist ja der Hammer!
Das ist also ein Tortunator?"
261;876417.2082;881297.0832;"Ein Feuer- und Drachen-Pokémon.
Ein starker und treuer Freund."
262;881380.5;885217.6666;"Molunk, zeig denen, was ihr draufhabt.
Giftschock!"
263;885301.0832;887761.875;"-Mangunior, Biss!
-Blutsauger!"
264;887845.2916;889847.2916;"Los, Ruckzuckhieb, Pikachu!"
265;889930.7082;891807.5832;"Pika!"
266;891891;893934.7082;"[zischen]"
267;894018.125;897313.0832;"Pi, pi, pi, pika!"
268;897396.5;898522.625;"[stöhnen]"
269;898606.0416;900983.4166;"-Das war schnell.
-[brüllt]"
270;901066.8332;903694.4582;"[knurren]"
271;907990.4166;908908;"Was war das?"
272;908991.4166;913996.4166;"Bei Berührung lösen seine Stacheln
Explosionen aus."
273;914079.8332;916332.0832;"Schnell, Molunk, Funkenflug!"
274;919543.625;922338.0832;"Pikachu, weich aus! Donnerblitz!"
275;922421.5;927009.4166;"Pika! Pikachu!"
276;931221.9582;933974.7082;"-[jubeln]
-Super gemacht."
277;938646.0416;940981.7082;"-Pika!
-[kichert]"
278;941565.625;943275.6666;"Ich bringe es zu Ende."
279;943359.0832;947196.25;"Es ist so weit, Tortunator, los geht's."
280;948614.3332;951075.125;"-Nator!
-[schreit]"
281;951158.5416;953494.2082;"-Oh, nein!
-Oh, oh."
282;953577.625;954703.75;"Wird es das?"
283;955537.9166;958958;"Der Zenit meines Körpers und Geistes."
284;959041.4166;961543.9166;"Und meiner Seele."
285;961627.3332;963379.0832;"Groß wie der Akala-Berg"
286;963462.5;966465.5;"wird zu einem rasend wütenden Feuer."
287;970302.6666;972096.125;"Dynamische Maxiflamme!"
288;973514.2082;977059.4166;"Tortunator!"
289;989697.0416;992741.75;"[stöhnen]"
290;993784.4582;997705.0416;"-Das zahlen wir euch heim.
-Ja, er hat recht."
291;998580.9166;1002167.8332;"[Team Skull]
Du hättest uns vorwarnen müssen."
292;1002251.25;1003711.0416;"Ja, das war unfair."
293;1005170.8332;1008590.9166;"-Kiawe, was war das denn?
-Pika."
294;1009216.5416;1011969.2916;"-Eine Z-Attacke.
-Z-Attacke?"
295;1012720.0416;1014805.4582;"-Ja.
-Das ist unser Kiawe."
296;1014888.875;1016724.0416;"Du warst auch toll, Ash."
297;1016807.4582;1020894.875;"Z-Attacken sind spezielle Attacken
aus unserer Region."
298;1020978.2916;1026233.5416;"Die Region besteht aus vier Inseln
und jede hat ihren Schutzpatron."
299;1027568.2082;1033032;"Nur wer an einer Zeremonie teilnimmt,
kann Z-Attacken einsetzen."
300;1033115.4166;1039121.4166;"Cool, ein Schutzpatron,
Inselwanderschaft und Z-Attacken."
301;1039955.5832;1042499.7916;"Ihr kämpftet auf Megahieb-Niveau."
302;1044001.2916;1047463.0832;"Du scheinst einen guten Kampf
zu genießen."
303;1047546.5;1052509.7916;"-Ich will ja auch Pokémon-Meister werden.
-Verstehe."
304;1052593.2082;1053469.0832;"Hm?"
305;1056138.4166;1059224.8332;"-Welches Pokémon ist das denn?
-Pika?"
306;1059975.5832;1061518.7916;"Pokémon?"
307;1061602.2082;1064521.7916;"-Wo denn?
-Ich sehe nirgendwo eins."
308;1064605.2082;1067858.4582;"Es war eben noch da.
Es war ein Pokémon."
309;1068442.375;1072613.2082;"Es war ganz gelb.
Mit einem orangen Kamm auf dem Kopf."
310;1073197.125;1075908.1666;"-Klingt ganz nach...
-Kapu-Riki."
311;1076283.5416;1079661.9166;"Du sahst den Schutzpatron von Mele-Mele?"
312;1080329.25;1083999.5832;"Schutzpatron? Das war echt Kapu-Riki?"
313;1096386.9582;1098263.8332;"Das ist wirklich gut."
314;1106730.625;1109900.4582;"-Ist heute was Aufregendes passiert?
-Hm?"
315;1110609.5;1112903.4582;"Du scheinst abgelenkt zu sein."
316;1112986.875;1115656.2082;"Hm?
[kichert]"
317;1115739.625;1116824.0416;"[Gackern]"
318;1116907.4582;1118784.3332;"-Hm?
-Pika?"
319;1122579.7916;1124957.1666;"Das war es wieder."
320;1125958.1666;1128460.6666;"-Wo willst du denn hin?
-Pikachu."
321;1135175.7082;1137553.0832;"[gackert]"
322;1137636.5;1139555.0832;"-Da ist es.
-Pika."
323;1141723.9166;1148689.2082;"[keucht]"
324;1154611.7916;1156321.8332;"[staunen]"
325;1156405.25;1160075.5832;"Da ist der Schutzpatron.
Das ist Kapu-Riki."
326;1163287.125;1165455.9582;"Wieso sehe nur ich dich?"
327;1168917.75;1170961.4582;"Willst du mir etwas sagen?"
328;1177092.5832;1178886.0416;"-[keucht]
-Pika."
329;1182097.5832;1185017.1666;"Das sieht genauso aus wie Kiawes."
330;1185642.7916;1189313.125;"[gackert]"
331;1190772.9166;1191773.9166;"[gackert]"
332;1193984.4582;1194902.0416;"Hm."
333;1198197;1199281.4166;"[keucht]"
334;1209708.5;1211084.875;"[staunt]"
335;1213212;1216256.7082;"Riki."
336;1216340.125;1219801.9166;"Hey! [keucht]"
337;1232898.3332;1234900.3332;"[Ash]
Das Haus ist toll."
338;1234983.75;1236485.25;"Weißt du was?"
339;1236568.6666;1239154.5832;"Im Keller ist ein Fitnessraum."
340;1239238;1240781.2082;"Das ist fantastisch."
341;1240864.625;1243784.2082;"Schön, dass ihr eine tolle Zeit habt."
342;1245077.1666;1246411.8332;"Danke, Mama."
343;1246495.25;1250916.3332;"Dass ich hierbleibe,
verdanke ich dir."
344;1250999.75;1254127.875;"Natürlich, ich bin doch deine Mutter."
345;1254670.0832;1257673.0832;"Ich erwartete es schon.
Und hatte recht."
346;1259466.5416;1262177.5832;"[schreit]
Ich muss jetzt los."
347;1262261;1264012.75;"Die Schule fängt an."
348;1264888.625;1268016.75;"[Delia]
Schöne Zeit und sei vorsichtig."
349;1269601.6666;1272229.2916;"-[kichert]
-Pika! Pika!"
350;1280988.0416;1284157.875;"-Lass uns um die Wette laufen.
-Pika!"
351;1284241.2916;1285742.7916;"Hey! Warte!"
352;1285826.2082;1287744.7916;"[Ash keucht]"
353;1287828.2082;1291331.7082;"[Erzähler] Für die beiden
beginnt eine aufregende Zeit,"
354;1291957.3332;1297087.4582;"nachdem Ash ein Armband
von dem Schutzpatron Kapu-Riki erhielt."
355;1297170.875;1298714.0832;"{\an8}Die Reise geht weiter."
356;1298797.5;1304803.5;"{\an8}FORTSETZUNG FOLGT..."
